,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/19 00:50,29.8,X,南南東,1.5 | 1,-,-,儀器調校中,1011.6,0.0,0.0
86,08/18 10:30,32.4,多雲,西北西,1.1 | 1,-,-,儀器調校中,1011.5,0.0,3.9
87,08/18 10:20,32.4,多雲,西北西,2.0 | 2,-,-,儀器調校中,1011.6,0.0,3.9
88,08/18 10:10,33.1,多雲,西,1.6 | 2,-,-,儀器調校中,1011.7,0.0,3.9
89,08/18 10:00,33.0,多雲,西北,1.5 | 1,-,-,儀器調校中,1011.7,0.0,3.8
90,08/18 09:50,32.2,多雲,北,1.6 | 2,-,12.0,儀器調校中,1011.8,0.0,3.7
91,08/18 09:40,33.0,多雲,北北西,0.8 | 1,-,12.0,儀器調校中,1011.8,0.0,3.5
92,08/18 09:30,32.6,多雲,北北西,1.6 | 2,-,12.0,儀器調校中,1011.9,0.0,3.4
93,08/18 09:20,32.6,多雲,西北西,0.8 | 1,-,12.0,儀器調校中,1011.8,0.0,3.2
94,08/18 09:10,31.6,多雲,西北西,1.7 | 2,-,12.0,儀器調校中,1011.9,0.0,3.0
95,08/18 09:00,31.9,多雲,北,1.0 | 1,-,12.0,儀器調校中,1011.9,0.0,2.9
96,08/18 08:50,31.0,多雲,風向不定,0.6 | 1,-,13.0,儀器調校中,1011.9,0.0,2.7
97,08/18 08:40,31.5,多雲,西北西,1.1 | 1,-,13.0,儀器調校中,1011.9,0.0,2.5
98,08/18 08:30,31.2,多雲,北北西,1.5 | 1,-,13.0,儀器調校中,1011.9,0.0,2.4
99,08/18 08:20,31.5,多雲,西北,1.9 | 2,-,13.0,儀器調校中,1011.9,0.0,2.2
100,08/18 08:10,31.0,多雲,北北西,1.7 | 2,-,13.0,儀器調校中,1011.7,0.0,2.0
101,08/18 08:00,30.7,多雲,北,2.0 | 2,-,13.0,儀器調校中,1011.7,0.0,1.9
102,08/18 07:50,30.4,X,北,1.9 | 2,-,-,儀器調校中,1011.6,0.0,1.7
103,08/18 07:40,30.1,X,北,2.1 | 2,-,-,儀器調校中,1011.7,0.0,1.6
104,08/18 07:30,30.1,X,北,2.8 | 2,-,-,儀器調校中,1011.7,0.0,1.4
105,08/18 07:20,29.8,X,北,2.6 | 2,-,-,儀器調校中,1011.7,0.0,1.2
106,08/18 07:10,29.7,X,北,2.5 | 2,-,-,儀器調校中,1011.6,0.0,1.1
107,08/18 07:00,29.6,X,北,2.5 | 2,-,-,儀器調校中,1011.5,0.0,0.9
108,08/18 06:50,29.4,X,北,2.9 | 2,-,-,儀器調校中,1011.5,0.0,0.7
109,08/18 06:40,29.4,X,北,2.2 | 2,-,-,儀器調校中,1011.5,0.0,0.6
110,08/18 06:30,29.2,X,北,2.4 | 2,-,-,儀器調校中,1011.3,0.0,0.4
111,08/18 06:20,29.1,X,北,2.6 | 2,-,-,儀器調校中,1011.3,0.0,0.2
112,08/18 06:10,28.9,X,北,2.2 | 2,-,-,儀器調校中,1011.2,0.0,0.1
113,08/18 06:00,28.7,X,北,2.0 | 2,-,-,儀器調校中,1011.2,0.0,0.0
114,08/18 05:50,28.9,晴,北,2.2 | 2,-,20.0,儀器調校中,1011.2,0.0,0.0
115,08/18 05:40,29.0,晴,北,1.7 | 2,-,20.0,儀器調校中,1011.0,0.0,0.0
116,08/18 05:30,29.0,晴,北,2.7 | 2,-,20.0,儀器調校中,1010.8,0.0,0.0
117,08/18 05:20,28.8,晴,北,2.1 | 2,-,20.0,儀器調校中,1010.7,0.0,0.0
118,08/18 05:10,29.0,晴,北,2.2 | 2,-,20.0,儀器調校中,1010.7,0.0,0.0
119,08/18 05:00,29.1,晴,北,1.5 | 1,-,20.0,儀器調校中,1010.7,0.0,0.0
120,08/18 04:50,29.3,X,北,2.0 | 2,-,-,儀器調校中,1010.7,0.0,0.0
121,08/18 04:40,29.1,X,北,2.0 | 2,-,-,儀器調校中,1010.7,0.0,0.0
122,08/18 04:30,29.2,X,北,2.2 | 2,-,-,儀器調校中,1010.6,0.0,0.0
123,08/18 04:20,29.2,X,北,2.0 | 2,-,-,儀器調校中,1010.4,0.0,0.0
124,08/18 04:10,29.2,X,北,1.6 | 2,-,-,儀器調校中,1010.4,0.0,0.0
125,08/18 04:00,29.3,X,北,1.5 | 1,-,-,儀器調校中,1010.4,0.0,0.0
126,08/18 03:50,29.4,X,北,1.7 | 2,-,-,儀器調校中,1010.5,0.0,0.0
127,08/18 03:40,29.3,X,北,0.9 | 1,-,-,儀器調校中,1010.5,0.0,0.0
128,08/18 03:30,29.3,X,北,1.3 | 1,-,-,儀器調校中,1010.6,0.0,0.0
129,08/18 03:20,29.4,X,北,1.2 | 1,-,-,儀器調校中,1010.7,0.0,0.0
130,08/18 03:10,29.4,X,北北東,1.3 | 1,-,-,儀器調校中,1010.7,0.0,0.0
131,08/18 03:00,29.7,X,北,1.5 | 1,-,-,儀器調校中,1010.7,0.0,0.0
132,08/18 02:50,29.6,晴,北,1.3 | 1,-,20.0,儀器調校中,1010.6,0.0,0.0
133,08/18 02:40,29.6,晴,北北東,1.2 | 1,-,20.0,儀器調校中,1010.6,0.0,0.0
134,08/18 02:30,29.6,晴,北,1.7 | 2,-,20.0,儀器調校中,1010.6,0.0,0.0
135,08/18 02:20,29.7,晴,北,1.6 | 2,-,20.0,儀器調校中,1010.7,0.0,0.0
136,08/18 02:10,29.8,晴,北,1.8 | 2,-,20.0,儀器調校中,1010.9,0.0,0.0
137,08/18 02:00,29.8,晴,北北東,1.5 | 1,-,20.0,儀器調校中,1011.0,0.0,0.0
138,08/18 01:50,29.6,X,東北,1.6 | 2,-,-,儀器調校中,1010.9,0.0,0.0
139,08/18 01:40,29.7,X,東北,1.5 | 1,-,-,儀器調校中,1010.8,0.0,0.0
140,08/18 01:30,29.8,X,東北,1.4 | 1,-,-,儀器調校中,1010.9,0.0,0.0
141,08/18 01:20,29.9,X,北,1.0 | 1,-,-,儀器調校中,1011.1,0.0,0.0
142,08/18 01:10,29.9,X,北北東,1.2 | 1,-,-,儀器調校中,1011.1,0.0,0.0
143,08/18 01:00,30.0,X,北北東,1.5 | 1,-,-,儀器調校中,1011.2,0.0,0.0
144,08/18 00:50,30.0,X,東北,1.6 | 2,-,-,儀器調校中,1011.3,0.0,0.0
145,08/18 00:40,30.0,X,東北,0.9 | 1,-,-,儀器調校中,1011.4,0.0,0.0
146,08/18 00:30,30.1,X,北北東,1.3 | 1,-,-,儀器調校中,1011.5,0.0,0.0
147,08/18 00:20,30.2,X,北,2.2 | 2,-,-,儀器調校中,1011.6,0.0,0.0
148,08/18 00:10,30.2,X,北北東,1.6 | 2,-,-,儀器調校中,1011.7,0.0,0.0
149,08/18 00:00,30.3,X,北,1.0 | 1,-,-,儀器調校中,1011.6,0.0,10.7
150,08/17 23:50,30.4,晴,靜風,0.1 | 0,-,20.0,儀器調校中,1011.7,0.0,10.7
